,v_eta_A5,v_eta_D5,v_eta_D4,v_eta_D3,v_eta_D2,v_eta_D1,v_sigma_A5,v_sigma_D5,v_sigma_D4,v_sigma_D3,v_sigma_D2,v_sigma_D1,v_mu_A5,v_mu_D5,v_mu_D4,v_mu_D3,v_mu_D2,v_mu_D1,v_sc_A5,v_sc_D5,v_sc_D4,v_sc_D3,v_sc_D2,v_sc_D1,v_ss_A5,v_ss_D5,v_ss_D4,v_ss_D3,v_ss_D2,v_ss_D1,v_ssk_A5,v_ssk_D5,v_ssk_D4,v_ssk_D3,v_ssk_D2,v_ssk_D1,v_zcr_A5,v_zcr_D5,v_zcr_D4,v_zcr_D3,v_zcr_D2,v_zcr_D1,v_scf_A5,v_scf_D5,v_scf_D4,v_scf_D3,v_scf_D2,v_scf_D1,v_sr_A5,v_sr_D5,v_sr_D4,v_sr_D3,v_sr_D2,v_sr_D1,v_sd_A5,v_sd_D5,v_sd_D4,v_sd_D3,v_sd_D2,v_sd_D1,v_sf_A5,v_sf_D5,v_sf_D4,v_sf_D3,v_sf_D2,v_sf_D1,bpm,filename,database
0,2.8333333333333335,2.2,3.1818181818181817,2.3548387096774195,4.59375,9.1875,1.2133516482134197,0.39999999999999997,0.5749595745760689,0.649981989664835,0.5510997527671374,0.8076779989575054,2,2,3,2,5,9,1.438232238331621,2.520055923832535,3.61672125917147,12.196909680853583,14.472941581791174,15.590512774814583,1.6576979706566297,2.003603930676106,3.3991334867121012,7.146863565806425,8.987406862190293,9.209208141122621,1.806492413012646,1.2950657928050555,2.3788527573567615,3.325778743823836,4.668229111488981,5.3249912525877665,0.13513513,0.2972973,0.12162162,0.3581081,0.19865319,0.1026936,0.1256883,0.100894116,0.083585806,0.063518636,0.04790751,0.04101017,4.688681325604839,4.862336189516129,8.3740234375,18.820358636811022,30.39981617647059,36.239833047945204,-0.059914395,-0.034332145,-0.07426073,-0.033799272,-0.023720857,-0.007043296,0.7214632,0.6900031,0.71016103,0.50104076,0.60492396,0.30885974,81.0,10118334.clip.mp3,acm_mirum
1,2.2666666666666666,3.2,2.6153846153846154,3.227272727272727,3.617283950617284,6.444444444444445,0.4422166387140533,0.7483314773547882,0.624926031125843,0.4190702026042222,1.1922372499267029,0.6516834799384523,2,3,2,3,3,6,2.7015247281656576,2.0901314612317026,6.077543701607434,11.756698100492368,13.603457735645472,14.924509018243713,2.0707094763742484,1.827743452357067,3.9912596911678295,5.5568761288195,7.957482511737928,8.95874864201204,1.4730716810040212,1.5366270190062583,2.043570243692162,2.851948164554989,4.495036553107957,6.141653135571483,0.13513513,0.1891892,0.2837838,0.23648648,0.0976431,0.052188553,0.10792509,0.11507547,0.08136964,0.073711306,0.071773656,0.062686324,5.20964591733871,4.688681325604839,10.0830078125,16.955278051181104,27.35983455882353,33.54291523972603,-0.047915425,-0.06729749,-0.06713787,-0.058447666,-0.040796246,-0.040909566,0.7205583,0.7627543,0.5267914,0.33155492,0.29015264,0.16049673,234.5,10258351.clip.mp3,acm_mirum
2,2.2857142857142856,2.2666666666666666,2.6923076923076925,2.1470588235294117,3.945945945945946,7.891891891891892,0.6998542122237652,0.4422166387140533,0.46153846153846156,0.49303101806588845,0.2261243314956961,0.31051689981286634,2,2,3,2,4,8,1.6787039041117415,3.837295150098571,6.309222235545202,17.103219691946098,22.68246840143542,24.798651295099152,1.922804285813835,1.8274019977311278,3.089007811306216,6.566261555728818,8.645883511953473,10.684763621684944,2.266492205189703,1.8698543527538412,3.0137845780328925,4.866177637705301,7.785008180241365,10.633563853741618,0.1891892,0.2972973,0.3108108,0.39864865,0.25252524,0.12626262,0.14551154,0.14977938,0.117362075,0.12074066,0.12217963,0.11061717,4.862336189516129,5.20964591733871,8.88671875,21.194097563976378,39.51976102941176,45.004815924657535,-0.10456199,-0.022025028,-0.072425716,-0.053505875,-0.062428728,-0.0568612,0.71634233,0.6143501,0.50216186,0.44697675,0.41212362,0.29231423,95.0,10270809.clip.mp3,acm_mirum
3,2.6666666666666665,2.6666666666666665,2.5,2.92,2.94,3.9594594594594597,0.4714045207910317,0.4714045207910317,0.7319250547113999,0.2712931993250107,1.0278132126023676,0.7612079516490627,3,3,2,3,2,4,1.665870389252822,3.1291057004666545,6.486599469211564,12.274246356547925,20.22740527095879,25.65192882770433,1.6604064981863698,1.2255819868829427,3.7561971968026975,4.857236862019447,12.63780803389042,14.492200049500836,1.9556858761700326,1.7387600027959014,2.0153754459873032,4.325254501485333,4.2605428972723605,6.670166893304766,0.08108108,0.2972973,0.2837838,0.30405405,0.21212122,0.099326596,0.144831,0.13449581,0.07643958,0.09952343,0.058488254,0.06148777,3.9940618699596775,3.9940618699596775,10.4248046875,16.44661970964567,36.64866727941176,44.83625856164383,-0.09623959,-0.018506993,-0.053741034,-0.056882348,-0.05865271,-0.05348364,0.6505078,0.61522144,0.5580576,0.44676682,0.44511452,0.24778685,129.0,10332517.clip.mp3,acm_mirum
4,3.090909090909091,2.2666666666666666,4.125,3.0416666666666665,3.945945945945946,5.192982456140351,0.9958591954639383,0.4422166387140533,1.964529205687714,1.0598414451647422,1.4509260034021136,1.680002051912156,4,2,4,2,3,5,1.5343193754431406,1.9631711121043787,2.0456724717338237,6.844379609413652,11.38435444048718,15.499142709840417,1.8694996890113382,2.006132332688687,2.72091088634439,6.904466144885709,10.765361605762973,12.972016111602871,2.11988130812526,1.7889690705742447,3.2223963029931832,3.3047444652797098,3.285614828637267,3.2855915729419753,0.08108108,0.1891892,0.067567565,0.11486486,0.124579124,0.08922559,0.17383122,0.13405484,0.113567725,0.059813138,0.033817243,0.023174206,5.035991053427419,4.862336189516129,7.861328125,18.65080585629921,31.24425551470588,42.47645547945205,-0.11421024,-0.03308513,-0.096794374,-0.06837885,-0.04035013,-0.025610657,0.5738079,0.6927121,0.56732035,0.6896566,0.6141027,0.4080989,90.0,10348303.clip.mp3,acm_mirum
5,2.0,2.5384615384615383,2.0,4.0,3.5853658536585367,5.673076923076923,0.0,1.08240363688233,0.0,0.0,1.0586602153273517,1.6257679114114498,2,2,2,4,3,5,2.367154653586947,2.3309011706228504,9.882940895909726,14.207619355059032,23.361878732991148,19.54898942820169,2.289757670357041,2.0666168027354863,2.6721159575114024,5.74153948079631,11.237964096354101,10.716034055978383,2.0214107419691376,1.5003869390378817,5.290643404621958,4.9053013553549745,4.792432023007673,7.134483157204359,0.2972973,0.13513513,0.5,0.25,0.124579124,0.062289562,0.13674907,0.09950767,0.26954222,0.13783044,0.0729355,0.069180444,5.20964591733871,5.035991053427419,10.7666015625,21.36365034448819,33.27090992647059,42.81357020547945,-0.08183601,0.007678877,-0.05938814,-0.039185394,-0.029319521,-0.034575857,0.68446183,0.80493027,0.35923895,0.36775872,0.38822332,0.24525659,92.0,10389587.clip.mp3,acm_mirum
6,3.2,3.2,3.0,3.0,3.2808988764044944,4.484848484848484,0.39999999999999997,0.39999999999999997,0.0,0.0,1.280701739215731,1.3398600587535845,3,3,3,3,2,4,1.651289488586279,2.8546427669644032,5.928071646185137,11.099527888503788,15.922216022676512,19.34140689419258,1.614294696780018,1.3127297331474572,2.6707429490736523,5.502611417729309,13.589659769267394,14.369556562069691,1.9869171796848877,1.5952689551511912,3.641294422921204,4.01270681257268,3.829845918861618,4.495108753371129,0.1891892,0.2972973,0.33783785,0.27702704,0.1919192,0.14983165,0.15113775,0.13961284,0.16573423,0.08926411,0.046333093,0.03234221,3.9940618699596775,3.9940618699596775,7.861328125,16.27706692913386,34.790900735294116,44.33058647260274,-0.110662885,-0.017886074,-0.081782505,-0.062239878,-0.07824712,-0.06325563,0.6126586,0.6069515,0.4150829,0.47361878,0.51297987,0.37548453,125.0,104186.clip.mp3,acm_mirum
7,3.4,2.2666666666666666,2.4,2.25,4.235294117647059,7.8108108108108105,0.8,0.44221663871405337,0.8,0.4330127018922193,0.9411764705882353,2.369146702790392,4,2,2,2,4,9,1.2397228816747579,2.296222766024486,5.0614089803037166,14.350090486995422,15.598039554316346,17.901296163009455,1.5110446646685045,1.9480295615905188,4.201675075320684,6.346609027936387,9.9930740625405,11.048681396300742,2.6414119119419053,1.6386311400521607,2.0118748420701325,4.033100465096554,4.748047451739644,6.990144876902753,0.13513513,0.13513513,0.2027027,0.3581081,0.17171717,0.0959596,0.14778204,0.09816205,0.07741658,0.08579816,0.054891225,0.052935615,4.515026461693549,4.862336189516129,9.7412109375,19.159464197834644,36.310891544117645,46.52183219178082,-0.078548856,-0.03622623,-0.07558285,-0.041880503,-0.06625579,-0.052739855,0.7622774,0.85609514,0.661024,0.45153278,0.47642088,0.35399806,163.0,104222.clip.mp3,acm_mirum
8,3.0,3.75,5.666666666666667,3.611111111111111,4.393939393939394,5.051724137931035,0.8944271909999159,1.479019945774904,1.7950549357115013,1.208253509496197,1.686656975766757,2.0122248262772047,2,2,7,3,3,3,2.2722092510005543,2.2072667079589707,2.601686604700038,2.798178801932851,4.533016555642094,7.6933492532531655,1.6376547875875773,1.7759498467251953,2.401633703095585,4.39549005937528,6.094081297446428,8.561436174277492,0.8895699255787136,1.0495584596424554,2.4550469466964997,4.879012432751703,4.2239907969317265,3.5944300079100646,0.1891892,0.1891892,0.12162162,0.0472973,0.043771043,0.05892256,0.09881074,0.09984911,0.09140257,0.096427806,0.05739852,0.03195835,4.862336189516129,4.862336189516129,8.3740234375,14.411986343503937,22.96875,31.52022688356164,-0.034380816,-0.050311256,-0.08642588,-0.12406078,-0.07131533,-0.041614514,0.590718,0.7652344,0.5381519,0.5593807,0.4405242,0.2955013,56.5,104260.clip.mp3,acm_mirum
9,2.8333333333333335,2.6666666666666665,2.6923076923076925,2.5,3.717948717948718,6.326086956521739,0.3726779962499649,0.9428090415820634,0.910166120476864,0.823754471047914,0.8148845426702925,1.9002785588261044,3,2,2,2,4,6,1.7570364088072914,2.370541421189199,7.696667026022926,12.420552990459525,15.838243030504662,20.357081847056694,1.7048581754443524,1.8142942507075324,3.483778079461344,6.859074089263031,10.444633346060714,11.71118046764117,1.8702485824523025,0.7756708722615778,2.1516911374419796,2.8261352218219056,3.9283444815896686,5.958487233618738,0.1891892,0.1891892,0.3108108,0.2635135,0.18518518,0.11952862,0.13332315,0.07773713,0.084169574,0.06367328,0.04968899,0.050241686,3.9940618699596775,4.862336189516129,10.595703125,20.854992002952756,32.76424632352941,43.82491438356164,-0.072015144,0.005982191,-0.02557285,-0.0424617,-0.06508206,-0.049425293,0.6882792,0.81999946,0.47444922,0.38168764,0.49981508,0.31860298,191.0,10443543.clip.mp3,acm_mirum
